key,year,local_title,identifier,source,http,status,remote_title
liu2025deployment,2025,Towards deployment-centric multimodal AI beyond vision and language,10.1038/s42256-025-01116-5,Crossref,302,verified,Towards deployment-centric multimodal AI beyond vision and language
chakraborti2025personalized,2025,Personalized uncertainty quantification in artificial intelligence,10.1038/s42256-025-01024-8,Crossref,302,verified,Personalized uncertainty quantification in artificial intelligence
mitra2023structured,2023,Learning from data with structured missingness,10.1038/s42256-022-00596-z,Crossref,302,verified,Learning from data with structured missingness
wang2024gradient,2024,Gradient-guided modality decoupling for missing-modality robustness,10.1609/aaai.v38i14.29474,Crossref,302,verified,Gradient-Guided Modality Decoupling for Missing-Modality Robustness
wu2026survey,2026,Deep multimodal learning with missing modality: A survey,https://openreview.net/forum?id=tc7RFcx4hT,official URL,200,verified_resolution,
li2024umdf,2024,A unified self-distillation framework for multimodal sentiment analysis with uncertain missing modalities,10.1609/aaai.v38i9.28871,Crossref,302,verified,A Unified Self-Distillation Framework for Multimodal Sentiment Analysis with Uncertain Missing Modalities
gao2024aleatoric,2024,Embracing unimodal aleatoric uncertainty for robust multimodal fusion,10.1109/CVPR52733.2024.02538,Crossref,302,verified,Embracing Unimodal Aleatoric Uncertainty for Robust Multimodal Fusion
cho2025cocoon,2025,Cocoon: Robust multi-modal perception with uncertainty-aware sensor fusion,https://proceedings.iclr.cc/paper_files/paper/2025/hash/6580845ce91a748a9bb09cec079aac1d-Abstract-Conference.html,official URL,200,verified_resolution,
vergara2012dataset,2012,Gas Sensor Array Drift Dataset,10.24432/C5RP6W,DataCite,302,verified,Gas Sensor Array Drift Dataset
vergara2012drift,2012,Chemical gas sensor drift compensation using classifier ensembles,10.1016/j.snb.2012.01.074,Crossref,302,verified,Chemical gas sensor drift compensation using classifier ensembles
neverova2016moddrop,2016,ModDrop,10.1109/TPAMI.2015.2461544,Crossref,302,verified,ModDrop: Adaptive Multi-Modal Gesture Recognition
guo2017calibration,2017,On calibration of modern neural networks,https://proceedings.mlr.press/v70/guo17a.html,official URL,200,verified_resolution,
hullermeier2021uncertainty,2021,Aleatoric and epistemic uncertainty in machine learning: An introduction to concepts and methods,10.1007/s10994-021-05946-3,Crossref,302,verified,Aleatoric and epistemic uncertainty in machine learning: an introduction to concepts and methods
ovadia2019trust,2019,Can you trust your model's uncertainty? Evaluating predictive uncertainty under dataset shift,https://proceedings.neurips.cc/paper/2019/hash/8558cb408c1d76621371888657d2eb1d-Abstract.html,official URL,200,verified_resolution,
kendall2017uncertainties,2017,What uncertainties do we need in Bayesian deep learning for computer vision?,https://proceedings.neurips.cc/paper/2017/hash/2650d6089a6d640c5e85b2b88265dc2b-Abstract.html,official URL,200,verified_resolution,
lakshminarayanan2017ensembles,2017,Simple and scalable predictive uncertainty estimation using deep ensembles,https://proceedings.neurips.cc/paper/2017/hash/9ef2ed4b7fd2c810847ffa5fa85bce38-Abstract.html,official URL,200,verified_resolution,
saito2015precision,2015,The precision--recall plot is more informative than the ROC,10.1371/journal.pone.0118432,Crossref,302,verified,The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets
little2019missing,2019,Statistical Analysis with Missing Data,10.1002/9781119482260,Crossref,302,verified,"Statistical Analysis with Missing Data, Third Edition"
mckinzie2023mismatch,2023,Robustness in multimodal learning under train--test modality mismatch,https://proceedings.mlr.press/v202/mckinzie23a.html,official URL,200,verified_resolution,
woo2023practices,2023,Towards good practices for missing modality robust action recognition,10.1609/aaai.v37i3.25378,Crossref,302,verified,Towards Good Practices for Missing Modality Robust Action Recognition
yao2024drfuse,2024,DrFuse,10.1609/aaai.v38i15.29578,Crossref,302,verified,DrFuse: Learning Disentangled Representation for Clinical Multi-Modal Fusion with Missing Modality and Modal Inconsistency
huang2025mgr,2025,Mitigating pervasive modality absence through multimodal generalization and refinement,10.1609/aaai.v39i25.34883,Crossref,302,verified,Mitigating Pervasive Modality Absence Through Multimodal Generalization and Refinement
park2025mome,2025,Resilient sensor fusion under adverse sensor failures via multi-modal expert fusion,10.1109/CVPR52734.2025.00630,Crossref,302,verified,Resilient Sensor Fusion under Adverse Sensor Failures via Multi-Modal Expert Fusion
sidheekh2025credibility,2025,Credibility-aware multimodal fusion using probabilistic circuits,https://proceedings.mlr.press/v258/sidheekh25a.html,official URL,200,verified_resolution,
liu2025rejection,2025,Enhancing multi-view classification reliability with adaptive rejection,10.1609/aaai.v39i18.34088,Crossref,302,verified,Enhancing Multi-View Classification Reliability with Adaptive Rejection
rabanser2025selective,2025,Selective prediction via training dynamics,https://openreview.net/forum?id=2wgnepQjyF,official URL,200,verified_resolution,
helwig2018hydraulic,2018,Condition Monitoring of Hydraulic Systems,10.24432/C5CW21,DataCite,302,verified,Condition monitoring of hydraulic systems
helwig2015condition,2015,Condition monitoring of a complex hydraulic system using multivariate statistics,10.1109/I2MTC.2015.7151267,Crossref,302,verified,Condition monitoring of a complex hydraulic system using multivariate statistics
helwig2015sensorfault,2015,Detecting and compensating sensor faults in a hydraulic condition monitoring system,10.5162/sensor2015/D8.1,Crossref,302,verified,D8.1 - Detecting and Compensating Sensor Faults in a Hydraulic Condition Monitoring System
yildirim2025hydraulic,2025,Condition monitoring and multi-fault classification of hydraulic systems using multivariate functional data analysis,10.1016/j.heliyon.2024.e41251,Crossref,302,verified,Condition monitoring and multi-fault classification of hydraulic systems using multivariate functional data analysis
ma2021multirate,2021,A multirate sensor information fusion strategy for multitask fault diagnosis based on convolutional neural network,10.1155/2021/9952450,Crossref,302,verified,A Multirate Sensor Information Fusion Strategy for Multitask Fault Diagnosis Based on Convolutional Neural Network
keleko2023hydraulic,2023,Health condition monitoring of a complex hydraulic system using deep neural network and DeepSHAP,10.1016/j.advengsoft.2022.103339,Crossref,302,verified,Health condition monitoring of a complex hydraulic system using Deep Neural Network and DeepSHAP explainable XAI
kullaa2013sensor,2013,"Detection, identification, and quantification of sensor fault in a sensor network",10.1016/j.ymssp.2013.05.007,Crossref,302,verified,"Detection, identification, and quantification of sensor fault in a sensor network"
kullaa2011distinguishing,2011,"Distinguishing between sensor fault, structural damage, and environmental or operational effects in structural health monitoring",10.1016/j.ymssp.2011.05.017,Crossref,302,verified,"Distinguishing between sensor fault, structural damage, and environmental or operational effects in structural health monitoring"
vaicenavicius2019calibration,2019,Evaluating model calibration in classification,https://proceedings.mlr.press/v89/vaicenavicius19a.html,official URL,200,verified_resolution,
minderer2021calibration,2021,Revisiting the calibration of modern neural networks,https://proceedings.neurips.cc/paper/2021/hash/8420d359404024567b5aefda1231af24-Abstract.html,official URL,200,verified_resolution,
demsar2006statistical,2006,Statistical comparisons of classifiers over multiple data sets,https://www.jmlr.org/papers/v7/demsar06a.html,official URL,200,verified_resolution,
dietterich1998tests,1998,Approximate statistical tests for comparing supervised classification learning algorithms,10.1162/089976698300017197,Crossref,302,verified,Approximate Statistical Tests for Comparing Supervised Classification Learning Algorithms
mcnemar1947correlated,1947,Note on the sampling error of the difference between correlated proportions or percentages,10.1007/BF02295996,Crossref,302,verified,Note on the Sampling Error of the Difference Between Correlated Proportions or Percentages
efron1994bootstrap,1994,An Introduction to the Bootstrap,10.1201/9780429246593,Crossref,302,verified,An Introduction to the Bootstrap
kull2019dirichlet,2019,Beyond temperature scaling: Obtaining well-calibrated multi-class probabilities with Dirichlet calibration,https://proceedings.neurips.cc/paper/2019/hash/8ca01ea920679a0fe3728441494041b9-Abstract.html,official URL,200,verified_resolution,
mortier2023classifier,2023,On the Calibration of Probabilistic Classifier Sets,https://proceedings.mlr.press/v206/mortier23a.html,official URL,200,verified_resolution,
yang2021pairwise,2021,Stability and Differential Privacy of Stochastic Gradient Descent for Pairwise Learning with Non-Smooth Loss,https://proceedings.mlr.press/v130/yang21c.html,official URL,200,verified_resolution,
wang2025ahuoperational,2025,"Real operational labeled data of air handling units from office, auditorium, and hospital buildings",10.1038/s41597-025-05825-9,Crossref,302,verified,"Real operational labeled data of air handling units from office, auditorium, and hospital buildings"
wang2024ahudataset,2024,"Labelled dataset for FDD in different building types: auditorium, hospital, and large-scale office",10.6084/m9.figshare.27147678.v3,DataCite,302,verified,"Labelled dataset for FDD in different building types: auditorium, hospital, and large-scale office"
wang2025ahutransformer,2025,Automated fault diagnosis detection of air handling units using real operational labelled data and transformer-based methods at 24-hour operation hospital,10.1016/j.buildenv.2025.113257,Crossref,302,verified,Automated fault diagnosis detection of air handling units using real operational labelled data and transformer-based methods at 24-hour operation hospital
feng2024attention,2024,Attention-empowered transfer learning method for HVAC sensor fault diagnosis in dynamic building environments,10.1016/j.buildenv.2023.111148,Crossref,302,verified,Attention-empowered transfer learning method for HVAC sensor fault diagnosis in dynamic building environments
wang2026temporal,2026,Temporal--contextual self-supervised time-series learning for automated fault detection and diagnosis of air handling units in buildings,10.1016/j.buildenv.2026.114300,Crossref,302,verified,Temporal–contextual self-supervised time-series learning for automated fault detection and diagnosis of air handling units in buildings
podkopaev2021distribution,2021,Distribution-free uncertainty quantification for classification under label shift,https://proceedings.mlr.press/v161/podkopaev21a.html,official URL,200,verified_resolution,
sun2016coral,2016,Return of Frustratingly Easy Domain Adaptation,10.1609/aaai.v30i1.10306,Crossref,302,verified,Return of Frustratingly Easy Domain Adaptation
